6464	5	6465
10289	9	10290
8429	9	8468
8147	9	8148
3790	4	944
9384	9	9385
7184	5	7185
1757	9	9000
10172	9	10173
4048	1	4049
4061	1	4062
9218	9	9219
2206	9	8626
8297	9	8298
4040	1	4041
8201	9	10499
10357	9	10358
8488	9	8489
6546	5	7231
6755	5	6756
2373	9	10541
5928	9	9213
8276	9	8277
5915	3	5228
8728	9	8729
3534	7	1401
2340	5	6449
8529	9	8530
5952	9	8588
2013	9	10274
6351	5	6722
9220	9	9221
8951	9	10449
6329	5	6330
6331	5	6386
6407	5	6408
3731	9	8084
7934	9	7935
6881	5	6882
3154	9	9073
2378	4	6165
9984	9	9985
10232	9	10233
3399	3	5397
2254	9	10606
8623	9	8624
8431	9	8432
1693	9	9282
7384	9	7889
6727	5	6728
8612	9	8613
7398	5	7399
3753	4	1086
10537	9	8113
6994	5	6995
10201	9	9478
9432	9	9433
6525	5	6869
10399	9	8629
7392	5	6918
5942	9	9268
10486	9	10487
3433	9	10524
6937	5	6601
340	9	10021
4122	1	4123
2263	0	290
2914	1	4201
2008	4	3341
7006	5	6750
10132	9	10133
8996	9	8997
10197	9	10372
2454	0	103
9370	9	9371
1426	5	6993
6383	5	6417
6222	9	8550
8378	9	8379
1054	9	9569
6538	5	6539
3393	1	3949
1346	9	10365
6799	7	308
7499	9	9401
9278	9	10258
6053	9	9262
7932	9	10434
2942	4	2429
7420	5	6520
2819	9	9548
1514	4	1629
8855	9	8411
8330	9	8331
10168	9	10169
4103	1	3848
6418	5	7096
9042	9	9303
2197	9	7899
7814	8	7674
9377	9	9378
2834	3	5179
1207	0	1004
6785	5	6786
3558	4	536
8571	9	8572
8721	9	9019
1356	3	5502
10100	9	10101
8347	9	8484
9159	9	9160
8505	9	8506
9868	9	9869
1944	9	10583
5965	7	388
7408	5	7409
8755	9	8756
8353	9	8354
2102	7	3
7086	5	7087
6807	5	6907
1736	0	529
8040	9	10471
522	9	7016
260	4	1720
4562	2	4265
3393	1	4006
10230	9	10231
1988	4	1794
6692	5	6374
5929	9	9010
6499	5	6500
2764	3	5503
3854	1	3890
6493	5	6330
3150	4	2211
1575	9	8340
8206	9	9173
3065	0	214
181	4	616
2208	4	3324
2947	9	10349
6596	5	6597
9149	9	9150
3295	9	9063
6757	5	6758
8412	9	8413
7221	5	7222
7981	9	7982
8721	9	10574
8595	9	8596
6983	5	6555
991	9	10397
6413	5	6992
10089	9	10090
6418	5	7011
6148	4	1852
1346	9	8943
6584	9	10254
7954	9	7955
7080	5	7081
298	9	8838
8000	9	8001
3644	4	1445
10355	9	10356
2357	9	8190
3516	4	6258
4129	1	4130
1528	4	1027
9147	9	9148
8281	9	8282
9200	9	9201
1824	9	10488
6455	5	6456
6351	5	6352
909	4	2684
6947	5	6948
811	8	7677
9093	9	9094
9299	9	9450
1486	4	2963
943	4	2906
2372	4	6107
6676	5	7207
1523	9	9676
4132	1	4133
7233	5	7234
8264	9	8265
9425	9	9426
7421	5	7422
7156	5	7379
8281	9	8813
4092	1	4093
9725	9	9726
7061	5	7062
2981	9	9366
6591	5	6338
913	9	10088
7632	9	10052
9304	9	9305
116	0	67
1109	9	10478
6473	5	6474
5895	9	8750
1770	0	605
8721	9	9092
2970	0	101
3891	1	4231
9245	9	8881
9280	9	9281
6426	5	6427
8425	9	8426
9751	9	9752
9007	9	9008
1888	9	8080
8042	9	8043
6546	5	7292
3494	0	432
5279	3	5198
1310	9	9075
2777	4	2
353	9	8484
4958	2	4959
9711	9	8920
3443	9	8747
9153	9	9154
3023	9	7991
8703	9	8704
10572	9	8275
6483	5	6484
8527	9	10446
8798	9	8736
5575	7	7496
2914	1	4221
9719	9	9720
9316	9	9317
6638	5	6639
9297	9	10534
8235	9	8236
3722	4	1586
2254	9	9879
1412	0	1413
1877	4	2709
7918	9	7996
1643	4	2193
6053	9	8592
40	4	6028
7051	5	7052
2868	0	1292
234	5	6450
8021	9	9965
646	9	9536
2011	4	5995
5915	4	6012
6181	5	7107
238	9	10439
8396	9	8397
10153	9	8835
10064	9	10065
1128	3	5753
3988	1	3950
9588	9	9589
3511	1	3815
406	7	2086
2035	4	3691
8393	9	8394
7552	9	7999
6498	5	6715
1054	9	7900
1414	9	10285
2254	9	8649
5995	7	79
2909	3	5858
7872	9	7873
9935	9	9936
3936	1	4012
10412	9	10413
9545	9	9546
2886	4	2416
3023	9	10314
1096	4	3547
3966	1	3976
5851	9	7914
6735	5	6522
1502	9	10611
9629	9	9630
2593	9	8191
7994	9	7995
3449	0	28
8494	9	8839
3295	9	10557
4065	1	4066
9443	9	9444
1991	8	7654
4148	1	4149
8231	9	8232
10546	9	10547
969	4	6163
7303	5	6684
4104	1	4037
8224	9	8225
6045	4	1256
9579	9	8405
864	0	139
4092	1	4112
5741	3	5179
1529	5	7165
9355	9	9356
2263	3	5594
9585	9	9424
273	5	6712
6674	5	6675
815	0	196
6415	5	7244
3232	4	445
164	4	1230
6855	5	6856
9521	9	9522
2652	9	8895
2377	7	667
7137	5	7138
6606	5	6607
3653	4	3211
6676	5	7415
6851	5	6852
4077	1	4087
5900	3	5307
10227	9	10090
8427	9	8428
2302	0	705
8304	9	8600
8311	9	8312
2855	0	1538
579	8	7677
10011	9	10012
1930	9	7924
8963	9	8964
7229	5	6559
3219	7	3169
8792	9	8793
5893	3	5190
394	4	2424
10385	9	10386
2424	0	599
5926	3	5252
117	9	9182
298	9	8679
8687	9	8688
3675	4	1301
9175	9	9989
7932	9	7967
6748	5	6684
1010	0	894
3086	3	5341
1062	3	5377
3611	4	3008
1061	4	2737
6546	5	7275
10053	9	10054
7636	8	7663
7166	5	7134
7992	9	7993
1038	0	245
6258	4	3516
471	4	1375
3023	9	10143
7965	9	8294
8740	9	8858
5462	3	5172
3029	9	8066
8025	9	8026
2373	9	9446
7424	5	6535
8193	9	8194
1804	7	295
967	3	5204
1931	3	5485
5773	3	5842
8165	9	8166
7620	9	9930
7880	9	7881
9132	9	9133
8445	9	9445
2047	4	3355
6242	4	3024
3141	2	4389
7032	5	7033
10152	9	8135
6820	5	6821
5234	3	5365
5424	3	5179
9179	9	9180
802	9	9843
7738	8	7659
10234	9	7890
10414	9	8225
9402	9	9403
5895	9	8184
758	6	7438
6978	5	6979
7798	8	7736
6004	4	1270
5663	3	5296
9658	9	9659
6826	5	6827
781	4	3035
7332	9	8164
6216	4	2352
9028	9	9029
7979	9	10431
6418	5	7010
6960	5	6703
621	9	9881
7558	9	9594
1265	9	9079
7784	8	7736
6604	5	6605
6323	5	6633
4021	1	3931
829	4	1878
3629	9	7942
8477	9	8478
1584	0	328
1833	4	204
7309	5	7181
5512	9	10026
8242	9	8243
8158	9	9607
6813	5	6814
9292	9	9293
8304	9	8305
2329	8	7659
1128	0	421
1725	0	149
8713	9	10067
4021	1	4022
1619	9	10451
6506	5	6507
5773	7	55
9648	9	9649
1143	9	10458
8040	9	8761
10300	9	10301
169	0	170
3566	4	3630
6129	4	751
6706	5	6707
9196	9	9533
3379	7	2272
875	4	2110
2733	8	7668
1009	4	2902
3462	3	5516
3346	0	245
2259	0	28
3037	4	3457
9141	9	9568
1783	1	3895
3508	9	10374
3265	7	975
451	4	1608
2132	0	2133
7073	5	6530
2629	8	7675
7538	9	8762
9697	9	9698
6802	5	6649
2947	9	9332
7364	5	7365
8583	9	8584
1692	9	10377
6887	5	6888
3749	9	8296
9972	9	8417
6194	4	1836
3636	9	9285
1420	0	1421
3292	3	5190
1772	0	3
3012	9	9961
442	8	7659
7908	9	7909
6203	7	168
5110	2	5125
3516	7	667
5930	3	5274
3829	1	4079
5431	3	5432
246	0	247
1433	3	5788
2916	8	7834
7546	7	917
5835	8	7799
262	9	10273
3096	0	15
760	4	3755
4045	1	3846
637	9	8124
2621	4	1662
1757	9	9337
1003	7	555
9165	9	9166
9090	9	9091
3292	0	103
5916	9	10309
3844	1	3887
1265	9	9995
7770	8	7680
3151	4	3089
8610	9	8611
5576	3	5577
2202	4	2671
9177	9	9178
2726	3	5666
6797	5	7133
2396	7	141
1273	7	386
3125	0	2999
8253	9	8254
3820	1	3821
6371	5	6372
120	5	6999
2156	0	139
1897	6	7455
6815	5	6423
851	4	437
6434	5	7274
1235	0	149
6523	5	6524
8355	9	10361
8240	9	8241
8661	9	648
1235	4	2781
8742	9	8743
8915	9	8916
3280	8	7842
6901	5	6658
6125	7	127
3333	0	15
607	0	608
10569	9	10570
5951	3	5423
1850	3	5179
809	8	7659
3461	0	806
